,Make,Model,Year,0
349,Acura,TSXManual,2004,12477
350,Acura,TSXManual,2005,7995
351,Acura,TSXSpecial,2013,19499
352,Acura,TSXSpecial,2013,16997
353,Acura,TSXSpecial,2013,15889
354,Acura,TSXSpecial,2014,19977
355,Acura,TSXSpecial,2014,18151
356,Acura,TSXSpecial,2014,17999
357,Acura,TSXV6,2012,12995
358,Acura,ZDXAWD,2010,17999
359,Acura,ZDXAWD,2010,15995
360,Acura,ZDXAWD,2011,23488
361,Acura,ZDXBase,2013,25895
362,Alfa,Romeo,2015,46517
363,Alfa,Romeo,2016,55495
364,Alfa,Romeo,2017,63995
365,Alfa,Romeo,2017,59880
366,Alfa,Romeo,2017,43995
367,Aston,Martin,2003,79999
368,Aston,Martin,2003,79999
369,Aston,Martin,2003,74998
370,Aston,Martin,2005,62888
371,Aston,Martin,2005,54900
372,Aston,Martin,2005,49998
373,Aston,Martin,2006,45990
374,Aston,Martin,2007,52500
375,Aston,Martin,2007,45888
376,Aston,Martin,2008,75900
377,Aston,Martin,2008,54995
378,Aston,Martin,2009,60000
379,Aston,Martin,2011,76800
380,Aston,Martin,2011,72490
381,Aston,Martin,2011,69995
382,Aston,Martin,2012,107007
383,Aston,Martin,2012,94999
384,Aston,Martin,2012,78888
385,Aston,Martin,2014,169900
386,Aston,Martin,2014,163990
387,Aston,Martin,2014,159007
388,Aston,Martin,2015,195980
389,Aston,Martin,2015,189980
390,Aston,Martin,2015,139999
391,Aston,Martin,2016,219990
392,Aston,Martin,2016,152555
393,Aston,Martin,2016,114880
394,Aston,Martin,2017,239950
395,Aston,Martin,2017,212993
396,Aston,Martin,2017,199974
397,Audi,A3,2016,34000
398,Audi,A3,2016,32821
399,Audi,A3,2016,31281
400,Audi,A3,2017,49455
401,Audi,A3,2017,44000
402,Audi,A3,2017,43245
403,Audi,A32.0T,2013,24899
404,Audi,A32.0T,2013,19923
405,Audi,A32.0T,2013,19602
406,Audi,A34dr,2006,8990
407,Audi,A34dr,2006,8888
408,Audi,A34dr,2006,8590
409,Audi,A34dr,2007,9900
410,Audi,A34dr,2007,8999
411,Audi,A34dr,2007,8899
412,Audi,A34dr,2008,10000
413,Audi,A34dr,2008,9950
414,Audi,A34dr,2008,8511
415,Audi,A34dr,2009,10988
416,Audi,A34dr,2009,9995
417,Audi,A34dr,2009,9995
418,Audi,A34dr,2010,17500
419,Audi,A34dr,2010,16000
420,Audi,A34dr,2010,16000
421,Audi,A34dr,2011,15950
422,Audi,A34dr,2011,14988
423,Audi,A34dr,2011,13888
424,Audi,A34dr,2012,19900
425,Audi,A34dr,2012,18275
426,Audi,A34dr,2012,17900
427,Audi,A3Cabriolet,2015,33795
428,Audi,A3Cabriolet,2015,32685
429,Audi,A3Cabriolet,2015,30770
430,Audi,A3Cabriolet,2016,26000
431,Audi,A3Cabriolet,2016,25777
432,Audi,A3Sedan,2015,33977
